,Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Year,Lithography(nm),Recommended_Customer_Price(USD),nb_of_Cores,nb_of_Threads,Processor_Base_Frequency(GHz),Cache(MB),TDP(W),Max_Memory_Bandwidth(GB/s),Instruction_Set(bit),Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Graphics_Base_Frequency(MHz)
191,Intel® Atom™ Processor C Series,Server,C3508,Launched,2017,14.0,86.0,4.0,4.0,1.6,8.0,11.5,36.202999999999996,64,0,1,0
192,Intel® Atom™ Processor C Series,Server,C3338,Launched,2017,14.0,27.0,2.0,2.0,1.5,4.0,9.0,23.70399999999998,64,0,1,0
193,Intel® Atom™ Processor C Series,Server,C3308,Launched,2017,14.0,32.0,2.0,2.0,1.6,4.0,9.5,27.69199999999996,64,0,1,0
194,Intel® Atom™ Processor E Series,Embedded,E3815,Launched,2013,22.0,31.0,1.0,1.0,1.46,0.5,5.0,8.812400000000002,64,0,1,400
195,Intel® Atom™ Processor E Series,Embedded,E3825,Launched,2013,22.0,34.0,2.0,2.0,1.33,1.0,6.0,8.438600000000003,64,0,1,533
196,Intel® Atom™ Processor E Series,Embedded,E3826,Launched,2013,22.0,37.0,2.0,2.0,1.46,1.0,7.0,9.703600000000005,64,0,1,533
197,Intel® Atom™ Processor E Series,Embedded,E3827,Launched,2013,22.0,41.0,2.0,2.0,1.75,1.0,8.0,11.995000000000006,64,0,1,542
198,Intel® Atom™ Processor E Series,Embedded,E3845,Launched,2013,22.0,52.0,4.0,4.0,1.91,2.0,10.0,18.79319999999998,64,0,1,542
199,Intel® Atom™ Processor N Series,Mobile,N2800,Launched,2011,32.0,47.0,2.0,4.0,1.86,1.0,6.5,8.952800000000014,64,1,0,640
200,Intel® Atom™ Processor S Series,Server,S1269,Launched,2013,32.0,80.0,2.0,4.0,1.6,1.0,11.7,19.78979999999997,64,1,1,0
201,Intel® Atom™ Processor S Series,Server,S1279,Launched,2013,32.0,103.0,2.0,4.0,1.6,1.0,13.1,20.473199999999974,64,1,1,0
202,Intel® Atom™ Processor S Series,Server,S1289,Launched,2013,32.0,120.0,2.0,4.0,2.0,1.0,14.1,20.53659999999997,64,1,1,0
203,Intel® Atom™ Processor X Series,Mobile,x3-C3130,Announced,2015,28.0,27.45,2.0,2.0,1.0,0.5,3.1604999999999994,3.2,64,0,1,480
204,Intel® Atom™ Processor X Series,Mobile,x3-C3200RK,Launched,2015,28.0,58.72,4.0,4.0,1.208033333333335,1.0,6.754500000000003,4.2,64,0,1,600
205,Intel® Atom™ Processor X Series,Mobile,x3-3205RK,Launched,2016,28.0,68.12,4.0,4.0,1.2116000000000016,1.0,6.863500000000001,4.2,64,0,1,600
206,Intel® Atom™ Processor X Series,Mobile,x3-C3230RK,Launched,2015,28.0,58.72,4.0,4.0,1.208033333333335,1.0,6.754500000000003,4.2,64,0,1,600
207,Intel® Atom™ Processor X Series,Mobile,x3-C3235RK,Launched,2015,28.0,58.72,4.0,4.0,1.208033333333335,1.0,6.754500000000003,4.2,64,0,1,600
208,Intel® Atom™ Processor X Series,Mobile,x3-C3295RK,Launched,2016,28.0,68.12,4.0,4.0,1.2116000000000016,1.0,6.863500000000001,4.2,64,0,1,600
209,Intel® Atom™ Processor X Series,Mobile,x3-C3265RK,Launched,2016,28.0,68.12,4.0,4.0,1.2116000000000016,1.0,6.863500000000001,4.2,64,0,1,600
210,Intel® Atom™ Processor X Series,Mobile,x3-C3405,Announced,2015,28.0,58.72,4.0,4.0,1.2,1.0,6.754500000000003,4.2,64,0,1,456
211,Intel® Atom™ Processor X Series,Mobile,x3-C3445,Announced,2015,28.0,58.72,4.0,4.0,1.2,1.0,6.754500000000003,4.2,64,0,1,456
212,Intel® Atom™ Processor X Series,Embedded,E8000,Launched,2016,14.0,39.0,4.0,4.0,1.04,2.0,5.0,22.798999999999978,64,0,1,320
213,Intel® Atom™ Processor X Series,Mobile,x5-Z8300,Launched,2015,14.0,21.0,4.0,4.0,1.44,2.0,9.232916666666666,12.8,64,0,1,200
214,Intel® Atom™ Processor X Series,Mobile,x5-Z8330,Launched,2016,14.0,22.86,4.0,4.0,1.44,2.0,8.7425,12.8,64,0,1,200
215,Intel® Atom™ Processor X Series,Mobile,x5-Z8350,Launched,2016,14.0,21.0,4.0,4.0,1.44,2.0,8.863333333333333,12.8,64,0,1,200
216,Intel® Atom™ Processor X Series,Mobile,x5-Z8500,Launched,2015,14.0,27.0,4.0,4.0,1.44,2.0,10.25625,25.6,64,0,1,200
217,Intel® Atom™ Processor X Series,Mobile,x5-Z8550,Launched,2016,14.0,27.0,4.0,4.0,1.44,2.0,9.904583333333333,25.6,64,0,1,200
218,Intel® Atom™ Processor X Series,Embedded,E3930,Announced,2016,14.0,106.16,2.0,2.0,1.3,2.0,6.5,34.1,64,0,1,400
219,Intel® Atom™ Processor X Series,Embedded,E3940,Announced,2016,14.0,67.61,4.0,4.0,1.6,2.0,9.5,34.1,64,0,1,400
220,Intel® Atom™ Processor X Series,Mobile,x7-Z8700,Launched,2015,14.0,37.0,4.0,4.0,1.6,2.0,10.23125,25.6,64,0,1,200
221,Intel® Atom™ Processor X Series,Embedded,E3950,Announced,2016,14.0,83.57,4.0,4.0,1.6,2.0,12.0,38.4,64,0,1,500
222,Intel® Atom™ Processor Z Series,Mobile,Z3460,Launched,2014,22.0,61.17,2.0,2.0,1.2661771428571418,1.0,4.723000000000002,8.5,64,0,1,400
223,Intel® Atom™ Processor Z Series,Mobile,Z3480,Launched,2014,22.0,61.17,2.0,2.0,1.2661771428571418,1.0,4.723000000000002,8.5,64,0,1,457
224,Intel® Atom™ Processor Z Series,Mobile,Z3560,Launched,2014,22.0,33.24,4.0,4.0,1.428544761904761,2.0,10.003,12.8,64,0,1,457
225,Intel® Atom™ Processor Z Series,Mobile,Z3530,Launched,2014,22.0,33.24,4.0,4.0,1.428544761904761,2.0,10.003,12.8,64,0,1,457
226,Intel® Atom™ Processor Z Series,Mobile,Z3570,Launched,2014,22.0,33.24,4.0,4.0,1.428544761904761,2.0,10.003,12.8,64,0,1,457
227,Intel® Atom™ Processor Z Series,Mobile,Z3580,Launched,2014,22.0,33.24,4.0,4.0,1.428544761904761,2.0,10.003,12.8,64,0,1,457
228,Intel® Atom™ Processor Z Series,Mobile,Z3590,Launched,2015,22.0,27.97,4.0,4.0,1.4248780952380946,2.0,9.665,12.8,64,0,1,457
229,Intel® Atom™ Processor Z Series,Mobile,Z3735E,Launched,2014,22.0,21.0,4.0,4.0,1.33,2.0,8.315333333333335,5.3,64,0,1,311
230,Intel® Atom™ Processor Z Series,Mobile,Z3735D,Launched,2014,22.0,19.97,4.0,4.0,1.33,2.0,8.333333333333334,10.6,64,0,1,311
231,Intel® Atom™ Processor Z Series,Mobile,Z3735F,Launched,2014,22.0,18.0,4.0,4.0,1.33,2.0,8.330333333333334,10.6,64,0,1,311
232,Intel® Atom™ Processor Z Series,Mobile,Z3735G,Launched,2014,22.0,17.0,4.0,4.0,1.33,2.0,8.298333333333334,5.3,64,0,1,311
233,Intel® Atom™ Processor Z Series,Mobile,Z3736F,Launched,2014,22.0,20.0,4.0,4.0,1.33,2.0,8.330333333333334,10.6,64,0,1,313
234,Intel® Atom™ Processor Z Series,Mobile,Z3736G,Launched,2014,22.0,20.0,4.0,4.0,1.33,2.0,8.315333333333335,5.3,64,0,1,313
235,Intel® Atom™ Processor Z Series,Mobile,Z3745,Launched,2014,22.0,30.0,4.0,4.0,1.33,2.0,9.454500000000001,17.1,64,0,1,311
236,Intel® Atom™ Processor Z Series,Mobile,Z3745D,Launched,2014,22.0,19.97,4.0,4.0,1.33,2.0,8.333333333333334,10.6,64,0,1,311
237,Intel® Atom™ Processor Z Series,Mobile,Z3775,Launched,2014,22.0,35.0,4.0,4.0,1.46,2.0,11.18,17.1,64,0,1,311
238,Intel® Atom™ Processor Z Series,Mobile,Z3775D,Launched,2014,22.0,56.53,4.0,4.0,1.49,2.0,9.366,10.6,64,0,1,311
239,Intel® Atom™ Processor Z Series,Mobile,Z3785,Launched,2014,22.0,63.92,4.0,4.0,1.49,2.0,10.93,21.3,64,0,1,313
240,Intel® Atom™ Processor Z Series,Mobile,Z3795,Launched,2014,22.0,40.0,4.0,4.0,1.59,2.0,10.11,17.1,64,0,1,311
241,Legacy Intel Atom® Processors,Embedded,E620T,Launched,2010,45.0,22.0,1.0,2.0,0.6,0.5,3.3,2.4469999999999965,32,1,1,320
242,Legacy Intel Atom® Processors,Embedded,E640,Launched,2010,45.0,29.0,1.0,2.0,1.0,0.5,3.6,2.684999999999997,32,1,1,320
243,Legacy Intel Atom® Processors,Embedded,E640T,Launched,2010,45.0,37.0,1.0,2.0,1.0,0.5,3.6,2.8729999999999962,32,1,1,320
244,Legacy Intel Atom® Processors,Embedded,E660,Launched,2010,45.0,54.0,1.0,2.0,1.3,0.5,3.6,5.398800000000003,32,1,1,400
245,Legacy Intel Atom® Processors,Embedded,E660T,Launched,2010,45.0,64.0,1.0,2.0,1.3,0.5,3.6,6.3406000000000065,32,1,1,400
246,Legacy Intel Atom® Processors,Embedded,E680,Launched,2010,45.0,74.0,1.0,2.0,1.6,0.5,4.5,9.566800000000011,32,1,1,400
247,Legacy Intel Atom® Processors,Mobile,N570,Launched,2011,45.0,72.47,2.0,4.0,1.66,1.0,8.5,14.637799999999995,64,1,0,200
248,Legacy Intel Atom® Processors,Embedded,E680T,Launched,2010,45.0,85.0,1.0,2.0,1.6,0.5,4.5,9.960200000000011,32,1,1,400
249,Intel® Quark™ SoC X1000 Series,Embedded,X1021,Launched,2014,32.0,13.39,1.0,1.0,0.4,0.015625,2.2,1.6,32,0,0,0
250,Intel® Quark™ SoC X1000 Series,Embedded,X1020D,Launched,2014,32.0,10.7,1.0,1.0,0.4,0.015625,2.2,1.6,32,0,0,0
251,Intel® Quark™ SoC X1000 Series,Embedded,X1020,Launched,2014,32.0,11.23,1.0,1.0,0.4,0.015625,2.2,1.6,32,0,0,0
252,Intel® Quark™ SoC X1000 Series,Embedded,X1011,Launched,2014,32.0,12.31,1.0,1.0,0.4,0.015625,2.2,1.6,32,0,0,0
253,Intel® Quark™ SoC X1000 Series,Embedded,X1010,Launched,2014,32.0,10.16,1.0,1.0,0.4,0.015625,2.2,1.6,32,0,0,0
254,Intel® Quark™ SoC X1000 Series,Embedded,X1001,Launched,2014,32.0,11.77,1.0,1.0,0.4,0.015625,2.2,1.6,32,0,0,0
255,Intel® Quark™ SoC X1000 Series,Embedded,X1000,Launched,2013,32.0,9.62,1.0,1.0,0.4,0.015625,2.2,1.6,32,0,0,0
256,Intel® Itanium® Processor 9500 Series,Server,9520,Launched,2012,32.0,1350.0,4.0,8.0,1.73,20.0,130.0,59.69999999999989,64,1,1,0
257,Intel® Itanium® Processor 9700 Series,Server,9760,Launched,2017,32.0,4650.0,8.0,16.0,2.66,32.0,170.0,81.38600000000005,64,1,1,0
258,Intel® Xeon Phi™ x200 Product Family,Server,7290F,Launched,2016,14.0,3368.0,72.0,54.32,1.5,36.0,260.0,115.2,64,1,0,0
259,Intel® Xeon® Processor D Family,Server,D-1513N,Launched,2017,14.0,192.0,4.0,8.0,1.6,6.0,35.0,34.10099999999994,64,1,1,0
260,Intel® Xeon® Processor E3 Family,Embedded,E3-1105C,Launched,2012,21.84,389.0,4.0,8.0,1.0,6.0,25.0,25.6,64,1,1,0
